"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",35,65,100,
"2019-01-02 00:00:00",27,61,94,
"2019-01-03 00:00:00",34,63,95,
"2019-01-04 00:00:00",26,44,88.75,
"2019-01-05 00:00:00",31,51,87.4,
"2019-01-06 00:00:00",34,46,86.16666666666667,
"2019-01-07 00:00:00",32,67,88,
"2019-01-08 00:00:00",32,41,84.14285714285714,
"2019-01-09 00:00:00",29,44,82,
"2019-01-10 00:00:00",37,50,80.57142857142857,
"2019-01-11 00:00:00",24,50,81.14285714285714,
"2019-01-12 00:00:00",28,46,80,
"2019-01-13 00:00:00",30,44,79.14285714285714,
"2019-01-14 00:00:00",27,51,76.14285714285714,
"2019-01-15 00:00:00",32,51,77.57142857142857,
"2019-01-16 00:00:00",41,56,81,
"2019-01-17 00:00:00",31,56,81,
"2019-01-18 00:00:00",31,52,82.28571428571429,
"2019-01-19 00:00:00",24,43,81.28571428571429,
"2019-01-20 00:00:00",33,53,83,
"2019-01-21 00:00:00",38,50,84.42857142857143,
"2019-01-22 00:00:00",32,49,84.14285714285714,
"2019-01-23 00:00:00",22,61,82.14285714285714,
"2019-01-24 00:00:00",22,55,80.71428571428571,
"2019-01-25 00:00:00",21,51,79.14285714285714,
"2019-01-26 00:00:00",37,60,83.42857142857143,
"2019-01-27 00:00:00",26,60,83.42857142857143,
"2019-01-28 00:00:00",37,53,83.71428571428571,
"2019-01-29 00:00:00",22,53,82.85714285714286,
"2019-01-30 00:00:00",37,51,83.57142857142857,
"2019-01-31 00:00:00",31,54,84.71428571428571,
"2019-02-01 00:00:00",26,53,85.71428571428571,
"2019-02-02 00:00:00",20,53,82.28571428571429,
"2019-02-03 00:00:00",30,55,82.14285714285714,
"2019-02-04 00:00:00",26,45,79.42857142857143,
"2019-02-05 00:00:00",33,50,80.57142857142857,
"2019-02-06 00:00:00",36,52,80.57142857142857,
"2019-02-07 00:00:00",31,53,80.42857142857143,
"2019-02-08 00:00:00",38,59,83,
"2019-02-09 00:00:00",22,55,83.57142857142857,
"2019-02-10 00:00:00",34,58,84.57142857142857,
"2019-02-11 00:00:00",30,37,84,
"2019-02-12 00:00:00",21,52,82.57142857142857,
"2019-02-13 00:00:00",32,48,81.42857142857143,
"2019-02-14 00:00:00",37,47,81.42857142857143,
"2019-02-15 00:00:00",27,61,80.14285714285714,
"2019-02-16 00:00:00",33,65,83.14285714285714,
"2019-02-17 00:00:00",39,55,83.42857142857143,
"2019-02-18 00:00:00",30,48,85,
"2019-02-19 00:00:00",43,59,89.14285714285714,
"2019-02-20 00:00:00",34,61,91.28571428571429,
"2019-02-21 00:00:00",33,57,92.14285714285714,
"2019-02-22 00:00:00",41,51,92.71428571428571,
"2019-02-23 00:00:00",34,64,92.71428571428571,
"2019-02-24 00:00:00",40,58,93.28571428571429,
"2019-02-25 00:00:00",41,60,96.57142857142857,
"2019-02-26 00:00:00",33,42,92.71428571428571,
"2019-02-27 00:00:00",35,50,91.28571428571429,
"2019-02-28 00:00:00",34,52,90.71428571428571,
"2019-03-01 00:00:00",26,62,90.14285714285714,
"2019-03-02 00:00:00",30,39,86,
"2019-03-03 00:00:00",21,63,84,
"2019-03-04 00:00:00",45,48,82.85714285714286,
"2019-03-05 00:00:00",39,61,86.42857142857143,
"2019-03-06 00:00:00",37,61,88.28571428571429,
"2019-03-07 00:00:00",28,59,88.42857142857143,
"2019-03-08 00:00:00",34,55,88.57142857142857,
"2019-03-09 00:00:00",35,62,92.57142857142857,
"2019-03-10 00:00:00",19,43,89.42857142857143,
"2019-03-11 00:00:00",28,38,85.57142857142857,
