"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",25,21,46,
"2019-01-02 00:00:00",19,9,37,
"2019-01-03 00:00:00",22,12,36,
"2019-01-04 00:00:00",17,9,33.5,
"2019-01-05 00:00:00",24,13,34.2,
"2019-01-06 00:00:00",15,12,33,
"2019-01-07 00:00:00",20,13,33,
"2019-01-08 00:00:00",13,13,30.142857142857142,
"2019-01-09 00:00:00",18,10,30.142857142857142,
"2019-01-10 00:00:00",20,8,29.285714285714285,
"2019-01-11 00:00:00",17,11,29.571428571428573,
"2019-01-12 00:00:00",20,12,28.857142857142858,
"2019-01-13 00:00:00",20,9,29.142857142857142,
"2019-01-14 00:00:00",16,13,28.571428571428573,
"2019-01-15 00:00:00",14,11,28.428571428571427,
"2019-01-16 00:00:00",20,14,29.285714285714285,
"2019-01-17 00:00:00",17,13,29.571428571428573,
"2019-01-18 00:00:00",25,8,30.285714285714285,
"2019-01-19 00:00:00",12,16,29.714285714285715,
"2019-01-20 00:00:00",22,14,30.714285714285715,
"2019-01-21 00:00:00",21,9,30.857142857142858,
"2019-01-22 00:00:00",23,11,32.142857142857146,
"2019-01-23 00:00:00",17,12,31.428571428571427,
"2019-01-24 00:00:00",22,13,32.142857142857146,
"2019-01-25 00:00:00",16,10,31.142857142857142,
"2019-01-26 00:00:00",21,11,31.714285714285715,
"2019-01-27 00:00:00",17,10,30.428571428571427,
"2019-01-28 00:00:00",18,14,30.714285714285715,
"2019-01-29 00:00:00",15,12,29.714285714285715,
"2019-01-30 00:00:00",17,14,30,
"2019-01-31 00:00:00",20,14,29.857142857142858,
"2019-02-01 00:00:00",22,13,31.142857142857142,
"2019-02-02 00:00:00",18,9,30.428571428571427,
"2019-02-03 00:00:00",17,15,31.142857142857142,
"2019-02-04 00:00:00",18,14,31.142857142857142,
"2019-02-05 00:00:00",20,12,31.857142857142858,
"2019-02-06 00:00:00",17,10,31.285714285714285,
"2019-02-07 00:00:00",21,14,31.428571428571427,
"2019-02-08 00:00:00",21,12,31.142857142857142,
"2019-02-09 00:00:00",17,14,31.714285714285715,
"2019-02-10 00:00:00",19,9,31.142857142857142,
"2019-02-11 00:00:00",13,8,29.571428571428573,
"2019-02-12 00:00:00",25,8,29.714285714285715,
"2019-02-13 00:00:00",16,9,29.428571428571427,
"2019-02-14 00:00:00",21,11,29,
"2019-02-15 00:00:00",19,9,28.285714285714285,
"2019-02-16 00:00:00",23,12,28.857142857142858,
"2019-02-17 00:00:00",18,9,28.714285714285715,
"2019-02-18 00:00:00",18,15,30.428571428571427,
"2019-02-19 00:00:00",9,15,29.142857142857142,
"2019-02-20 00:00:00",17,9,29.285714285714285,
"2019-02-21 00:00:00",20,12,29.285714285714285,
"2019-02-22 00:00:00",21,11,29.857142857142858,
"2019-02-23 00:00:00",13,13,28.571428571428573,
"2019-02-24 00:00:00",19,17,29.857142857142858,
"2019-02-25 00:00:00",22,10,29.714285714285715,
"2019-02-26 00:00:00",18,13,30.714285714285715,
"2019-02-27 00:00:00",21,13,31.857142857142858,
"2019-02-28 00:00:00",22,10,31.857142857142858,
"2019-03-01 00:00:00",16,10,31,
"2019-03-02 00:00:00",15,12,31.142857142857142,
"2019-03-03 00:00:00",20,12,30.571428571428573,
"2019-03-04 00:00:00",12,13,29.571428571428573,
"2019-03-05 00:00:00",12,20,29.714285714285715,
"2019-03-06 00:00:00",21,9,29.142857142857142,
"2019-03-07 00:00:00",18,15,29.285714285714285,
"2019-03-08 00:00:00",21,11,30.142857142857142,
"2019-03-09 00:00:00",15,21,31.428571428571427,
"2019-03-10 00:00:00",17,14,31.285714285714285,
"2019-03-11 00:00:00",14,17,32.142857142857146,
"2019-03-12 00:00:00",20,10,31.857142857142858,
"2019-03-13 00:00:00",22,11,32.285714285714285,
"2019-03-14 00:00:00",19,11,31.857142857142858,
"2019-03-15 00:00:00",15,10,30.857142857142858,
"2019-03-16 00:00:00",23,12,30.714285714285715,
"2019-03-17 00:00:00",18,14,30.857142857142858,
"2019-03-18 00:00:00",11,11,29.571428571428573,
"2019-03-19 00:00:00",16,14,29.571428571428573,
"2019-03-20 00:00:00",25,7,29.428571428571427,
"2019-03-21 00:00:00",20,12,29.714285714285715,
"2019-03-22 00:00:00",13,15,30.142857142857142,
"2019-03-23 00:00:00",20,11,29.571428571428573,
"2019-03-24 00:00:00",22,7,29.142857142857142,
"2019-03-25 00:00:00",12,14,29.714285714285715,
"2019-03-26 00:00:00",18,15,30.142857142857142,
"2019-03-27 00:00:00",23,6,29.714285714285715,
"2019-03-28 00:00:00",18,9,29,
"2019-03-29 00:00:00",15,13,29,
"2019-03-30 00:00:00",15,14,28.714285714285715,
"2019-03-31 00:00:00",15,11,28.285714285714285,
"2019-04-01 00:00:00",11,13,28,
"2019-04-02 00:00:00",17,10,27.142857142857142,
"2019-04-03 00:00:00",18,10,27,
"2019-04-04 00:00:00",17,13,27.428571428571427,
"2019-04-05 00:00:00",18,12,27.714285714285715,
"2019-04-06 00:00:00",21,13,28.428571428571427,
"2019-04-07 00:00:00",20,12,29.285714285714285,
"2019-04-08 00:00:00",14,12,29.571428571428573,
"2019-04-09 00:00:00",16,14,30,
"2019-04-10 00:00:00",13,13,29.714285714285715,
"2019-04-11 00:00:00",23,6,29.571428571428573,
"2019-04-12 00:00:00",21,9,29.571428571428573,
"2019-04-13 00:00:00",19,10,28.857142857142858,
"2019-04-14 00:00:00",17,10,28.142857142857142,
"2019-04-15 00:00:00",22,14,29.571428571428573,
"2019-04-16 00:00:00",15,8,28.571428571428573,
"2019-04-17 00:00:00",18,7,28.428571428571427,
"2019-04-18 00:00:00",11,19,28.571428571428573,
"2019-04-19 00:00:00",19,14,29,
"2019-04-20 00:00:00",20,9,29,
"2019-04-21 00:00:00",21,10,29.571428571428573,
"2019-04-22 00:00:00",13,20,29.142857142857142,
"2019-04-23 00:00:00",12,21,30.571428571428573,
"2019-04-24 00:00:00",23,10,31.714285714285715,
"2019-04-25 00:00:00",23,7,31.714285714285715,
"2019-04-26 00:00:00",25,10,32,
"2019-04-27 00:00:00",25,12,33.142857142857146,
"2019-04-28 00:00:00",23,9,33.285714285714285,
"2019-04-29 00:00:00",17,12,32.714285714285715,
